conv_id,criterion,repeat,score
132,Clinical Accuracy & Safety,0,8.0
132,Clinical Accuracy & Safety,1,8.0
132,Clinical Accuracy & Safety,2,8.0
132,Clinical Accuracy & Safety,3,8.0
132,Clinical Accuracy & Safety,4,8.0
132,Clarity & Understandability,0,8.0
132,Clarity & Understandability,1,8.0
132,Clarity & Understandability,2,8.0
132,Clarity & Understandability,3,8.0
132,Clarity & Understandability,4,8.0
132,Actionability,0,7.0
132,Actionability,1,6.0
132,Actionability,2,8.0
132,Actionability,3,6.0
132,Actionability,4,8.0
132,Empathy & Supportiveness,0,9.0
132,Empathy & Supportiveness,1,10.0
132,Empathy & Supportiveness,2,9.0
132,Empathy & Supportiveness,3,9.0
132,Empathy & Supportiveness,4,9.0
132,Adaptability & Personalization,0,8.0
132,Adaptability & Personalization,1,8.0
132,Adaptability & Personalization,2,8.0
132,Adaptability & Personalization,3,8.0
132,Adaptability & Personalization,4,7.0
132,Trustworthiness & Ethical Communication,0,8.0
132,Trustworthiness & Ethical Communication,1,8.0
132,Trustworthiness & Ethical Communication,2,8.0
132,Trustworthiness & Ethical Communication,3,8.0
132,Trustworthiness & Ethical Communication,4,8.0
148,Clinical Accuracy & Safety,0,8.0
148,Clinical Accuracy & Safety,1,8.0
148,Clinical Accuracy & Safety,2,8.0
148,Clinical Accuracy & Safety,3,8.0
148,Clinical Accuracy & Safety,4,8.0
148,Clarity & Understandability,0,8.0
148,Clarity & Understandability,1,8.0
148,Clarity & Understandability,2,8.0
148,Clarity & Understandability,3,8.0
148,Clarity & Understandability,4,8.0
148,Actionability,0,8.0
148,Actionability,1,8.0
148,Actionability,2,8.0
148,Actionability,3,8.0
148,Actionability,4,8.0
148,Empathy & Supportiveness,0,10.0
148,Empathy & Supportiveness,1,9.0
148,Empathy & Supportiveness,2,9.0
148,Empathy & Supportiveness,3,9.0
148,Empathy & Supportiveness,4,9.0
148,Adaptability & Personalization,0,8.0
148,Adaptability & Personalization,1,8.0
148,Adaptability & Personalization,2,8.0
148,Adaptability & Personalization,3,8.0
148,Adaptability & Personalization,4,8.0
148,Trustworthiness & Ethical Communication,0,9.0
148,Trustworthiness & Ethical Communication,1,8.0
148,Trustworthiness & Ethical Communication,2,8.0
148,Trustworthiness & Ethical Communication,3,8.0
148,Trustworthiness & Ethical Communication,4,8.0
350,Clinical Accuracy & Safety,0,8.0
350,Clinical Accuracy & Safety,1,9.0
350,Clinical Accuracy & Safety,2,8.0
350,Clinical Accuracy & Safety,3,8.0
350,Clinical Accuracy & Safety,4,8.0
350,Clarity & Understandability,0,8.0
350,Clarity & Understandability,1,8.0
350,Clarity & Understandability,2,8.0
350,Clarity & Understandability,3,8.0
350,Clarity & Understandability,4,8.0
350,Actionability,0,8.0
