conv_id,repeat,score
132,0,8.0
132,1,8.0
132,2,8.0
132,3,8.0
132,4,8.0
148,0,8.0
148,1,8.0
148,2,8.0
148,3,8.0
148,4,8.0
350,0,8.0
350,1,8.0
350,2,8.0
350,3,8.0
350,4,8.0
465,0,8.0
465,1,8.0
465,2,8.0
465,3,8.0
465,4,8.0
410,0,8.0
410,1,8.0
410,2,8.0
410,3,8.0
410,4,8.0
434,0,8.0
434,1,8.0
434,2,8.0
434,3,8.0
434,4,8.0
455,0,8.0
455,1,8.0
455,2,8.0
455,3,8.0
455,4,8.0
95,0,8.0
95,1,8.0
95,2,8.0
95,3,8.0
95,4,8.0
333,0,8.0
333,1,8.0
333,2,8.0
333,3,8.0
333,4,8.0
118,0,8.0
118,1,8.0
118,2,8.0
118,3,8.0
118,4,8.0
341,0,8.0
341,1,8.0
341,2,8.0
341,3,8.0
341,4,8.0
75,0,7.0
75,1,7.0
75,2,8.0
75,3,8.0
75,4,7.0
445,0,8.0
445,1,8.0
445,2,8.0
445,3,8.0
445,4,8.0
115,0,8.0
115,1,8.0
115,2,8.0
115,3,8.0
115,4,8.0
328,0,8.0
328,1,8.0
328,2,8.0
328,3,8.0
328,4,8.0
