conv_id,turn,repeat,score
75,1,0,8.0
75,1,1,8.0
75,1,2,8.0
75,1,3,8.0
75,1,4,8.0
75,2,0,8.0
75,2,1,8.0
75,2,2,8.0
75,2,3,8.0
75,2,4,8.0
75,3,0,9.0
75,3,1,9.0
75,3,2,9.0
75,3,3,10.0
75,3,4,9.0
75,4,0,8.0
75,4,1,8.0
75,4,2,8.0
75,4,3,8.0
75,4,4,8.0
75,5,0,8.0
75,5,1,8.0
75,5,2,8.0
75,5,3,8.0
75,5,4,8.0
75,6,0,9.0
75,6,1,9.0
75,6,2,8.0
75,6,3,8.0
75,6,4,9.0
75,7,0,8.0
75,7,1,8.0
75,7,2,8.0
75,7,3,8.0
75,7,4,8.0
75,8,0,8.0
75,8,1,8.0
75,8,2,8.0
75,8,3,8.0
75,8,4,8.0
75,9,0,8.0
75,9,1,8.0
75,9,2,8.0
75,9,3,8.0
75,9,4,8.0
75,10,0,8.0
75,10,1,8.0
75,10,2,8.0
75,10,3,8.0
75,10,4,8.0
75,11,0,8.0
75,11,1,8.0
75,11,2,8.0
75,11,3,9.0
75,11,4,8.0
75,12,0,10.0
75,12,1,8.0
75,12,2,8.0
75,12,3,8.0
75,12,4,8.0
75,13,0,9.0
75,13,1,9.0
75,13,2,8.0
75,13,3,8.0
75,13,4,8.0
75,14,0,8.0
75,14,1,8.0
75,14,2,8.0
75,14,3,8.0
75,14,4,8.0
75,15,0,8.0
75,15,1,8.0
75,15,2,8.0
75,15,3,9.0
75,15,4,8.0
75,16,0,8.0
75,16,1,8.0
75,16,2,8.0
75,16,3,8.0
75,16,4,8.0
75,17,0,8.0
75,17,1,8.0
75,17,2,8.0
75,17,3,8.0
75,17,4,8.0
75,18,0,8.0
75,18,1,8.0
75,18,2,8.0
75,18,3,8.0
75,18,4,8.0
75,19,0,8.0
75,19,1,8.0
75,19,2,8.0
75,19,3,9.0
75,19,4,8.0
75,20,0,8.0
75,20,1,8.0
75,20,2,8.0
75,20,3,8.0
75,20,4,8.0
75,21,0,8.0
75,21,1,8.0
75,21,2,8.0
75,21,3,8.0
75,21,4,9.0
75,22,0,8.0
75,22,1,8.0
75,22,2,8.0
75,22,3,8.0
75,22,4,8.0
75,23,0,8.0
75,23,1,8.0
75,23,2,8.0
75,23,3,8.0
75,23,4,8.0
75,24,0,8.0
75,24,1,8.0
75,24,2,8.0
75,24,3,9.0
75,24,4,8.0
75,25,0,8.0
75,25,1,8.0
75,25,2,8.0
75,25,3,8.0
75,25,4,9.0
75,26,0,8.0
75,26,1,9.0
75,26,2,9.0
75,26,3,8.0
75,26,4,8.0
75,27,0,8.0
75,27,1,8.0
75,27,2,8.0
75,27,3,8.0
75,27,4,8.0
75,28,0,8.0
75,28,1,8.0
75,28,2,8.0
75,28,3,8.0
75,28,4,8.0
75,29,0,9.0
75,29,1,8.0
75,29,2,8.0
75,29,3,10.0
75,29,4,10.0
75,30,0,8.0
75,30,1,8.0
75,30,2,8.0
75,30,3,8.0
75,30,4,8.0
350,1,0,10.0
350,1,1,10.0
350,1,2,8.0
350,1,3,9.0
350,1,4,10.0
350,2,0,10.0
350,2,1,10.0
350,2,2,10.0
350,2,3,10.0
350,2,4,10.0
350,3,0,9.0
350,3,1,8.0
350,3,2,9.0
350,3,3,8.0
350,3,4,9.0
350,4,0,9.0
350,4,1,8.0
350,4,2,8.0
350,4,3,8.0
350,4,4,8.0
350,5,0,9.0
350,5,1,9.0
350,5,2,9.0
350,5,3,9.0
350,5,4,9.0
350,6,0,9.0
350,6,1,9.0
350,6,2,9.0
350,6,3,9.0
350,6,4,9.0
350,7,0,9.0
350,7,1,9.0
350,7,2,9.0
350,7,3,9.0
350,7,4,9.0
350,8,0,9.0
350,8,1,9.0
350,8,2,10.0
350,8,3,10.0
350,8,4,9.0
350,9,0,9.0
350,9,1,9.0
350,9,2,9.0
350,9,3,9.0
350,9,4,9.0
350,10,0,9.0
350,10,1,9.0
350,10,2,9.0
350,10,3,9.0
350,10,4,10.0
350,11,0,10.0
350,11,1,10.0
350,11,2,9.0
350,11,3,10.0
350,11,4,10.0
350,12,0,10.0
350,12,1,10.0
350,12,2,10.0
350,12,3,9.0
350,12,4,10.0
350,13,0,9.0
350,13,1,9.0
350,13,2,9.0
350,13,3,10.0
350,13,4,9.0
350,14,0,9.0
350,14,1,9.0
350,14,2,9.0
350,14,3,9.0
350,14,4,10.0
350,15,0,8.0
350,15,1,8.0
350,15,2,8.0
350,15,3,9.0
350,15,4,8.0
350,16,0,10.0
350,16,1,9.0
350,16,2,10.0
350,16,3,10.0
350,16,4,9.0
350,17,0,10.0
350,17,1,10.0
350,17,2,9.0
350,17,3,9.0
350,17,4,9.0
350,18,0,9.0
350,18,1,9.0
350,18,2,9.0
350,18,3,9.0
350,18,4,10.0
350,19,0,9.0
350,19,1,9.0
350,19,2,10.0
350,19,3,9.0
350,19,4,10.0
350,20,0,8.0
350,20,1,9.0
350,20,2,9.0
350,20,3,9.0
350,20,4,9.0
350,21,0,9.0
350,21,1,9.0
350,21,2,10.0
350,21,3,9.0
350,21,4,9.0
350,22,0,9.0
350,22,1,9.0
350,22,2,9.0
350,22,3,9.0
350,22,4,9.0
350,23,0,10.0
350,23,1,9.0
350,23,2,10.0
350,23,3,9.0
350,23,4,9.0
350,24,0,9.0
350,24,1,9.0
350,24,2,10.0
350,24,3,10.0
350,24,4,10.0
350,25,0,8.0
350,25,1,9.0
350,25,2,8.0
350,25,3,8.0
350,25,4,8.0
350,26,0,10.0
350,26,1,10.0
350,26,2,10.0
350,26,3,9.0
350,26,4,10.0
350,27,0,10.0
350,27,1,10.0
350,27,2,10.0
350,27,3,10.0
350,27,4,10.0
350,28,0,9.0
350,28,1,10.0
350,28,2,9.0
350,28,3,9.0
350,28,4,10.0
350,29,0,10.0
350,29,1,10.0
350,29,2,10.0
350,29,3,10.0
350,29,4,10.0
350,30,0,9.0
350,30,1,9.0
350,30,2,9.0
350,30,3,9.0
350,30,4,9.0
115,1,0,10.0
115,1,1,9.0
115,1,2,10.0
115,1,3,10.0
115,1,4,10.0
115,2,0,9.0
115,2,1,8.0
115,2,2,9.0
115,2,3,8.0
115,2,4,8.0
115,3,0,10.0
115,3,1,9.0
115,3,2,10.0
115,3,3,9.0
115,3,4,9.0
115,4,0,10.0
115,4,1,9.0
115,4,2,9.0
115,4,3,9.0
115,4,4,9.0
115,5,0,9.0
115,5,1,9.0
115,5,2,9.0
115,5,3,9.0
115,5,4,9.0
115,6,0,10.0
115,6,1,10.0
115,6,2,10.0
115,6,3,10.0
115,6,4,10.0
115,7,0,9.0
115,7,1,9.0
115,7,2,8.0
115,7,3,9.0
115,7,4,9.0
115,8,0,8.0
115,8,1,9.0
115,8,2,10.0
115,8,3,10.0
115,8,4,9.0
115,9,0,9.0
115,9,1,9.0
115,9,2,10.0
115,9,3,10.0
115,9,4,9.0
115,10,0,8.0
115,10,1,9.0
115,10,2,9.0
115,10,3,10.0
115,10,4,8.0
115,11,0,9.0
115,11,1,9.0
115,11,2,9.0
115,11,3,9.0
115,11,4,10.0
115,12,0,9.0
115,12,1,9.0
115,12,2,9.0
115,12,3,9.0
115,12,4,8.0
115,13,0,9.0
115,13,1,10.0
115,13,2,10.0
115,13,3,10.0
115,13,4,10.0
115,14,0,8.0
115,14,1,9.0
115,14,2,9.0
115,14,3,9.0
115,14,4,8.0
115,15,0,8.0
115,15,1,9.0
115,15,2,8.0
115,15,3,8.0
115,15,4,8.0
115,16,0,10.0
115,16,1,10.0
115,16,2,10.0
115,16,3,9.0
115,16,4,9.0
115,17,0,8.0
115,17,1,9.0
115,17,2,8.0
115,17,3,8.0
115,17,4,8.0
115,18,0,10.0
115,18,1,10.0
115,18,2,9.0
115,18,3,9.0
115,18,4,9.0
115,19,0,10.0
115,19,1,10.0
115,19,2,9.0
115,19,3,9.0
115,19,4,9.0
115,20,0,9.0
115,20,1,9.0
115,20,2,9.0
115,20,3,9.0
115,20,4,9.0
115,21,0,10.0
115,21,1,10.0
115,21,2,10.0
115,21,3,9.0
115,21,4,10.0
115,22,0,9.0
115,22,1,8.0
115,22,2,9.0
115,22,3,10.0
115,22,4,10.0
115,23,0,10.0
115,23,1,8.0
115,23,2,9.0
115,23,3,9.0
115,23,4,9.0
115,24,0,8.0
115,24,1,8.0
115,24,2,9.0
115,24,3,9.0
115,24,4,8.0
115,25,0,7.0
115,25,1,7.0
115,25,2,7.0
115,25,3,7.0
115,25,4,8.0
115,26,0,9.0
115,26,1,9.0
115,26,2,9.0
115,26,3,9.0
115,26,4,9.0
115,27,0,9.0
115,27,1,9.0
115,27,2,10.0
115,27,3,9.0
115,27,4,9.0
115,28,0,10.0
115,28,1,10.0
115,28,2,9.0
115,28,3,9.0
115,28,4,9.0
115,29,0,9.0
115,29,1,9.0
115,29,2,9.0
115,29,3,10.0
115,29,4,9.0
115,30,0,9.0
115,30,1,10.0
115,30,2,9.0
115,30,3,10.0
115,30,4,9.0
148,1,0,8.0
148,1,1,8.0
148,1,2,8.0
148,1,3,9.0
148,1,4,8.0
148,2,0,10.0
148,2,1,10.0
148,2,2,10.0
148,2,3,9.0
148,2,4,9.0
148,3,0,9.0
148,3,1,9.0
148,3,2,9.0
148,3,3,8.0
148,3,4,8.0
148,4,0,8.0
148,4,1,8.0
148,4,2,8.0
148,4,3,8.0
148,4,4,8.0
148,5,0,9.0
148,5,1,9.0
148,5,2,9.0
148,5,3,9.0
148,5,4,9.0
148,6,0,9.0
148,6,1,8.0
148,6,2,9.0
148,6,3,9.0
148,6,4,9.0
148,7,0,9.0
148,7,1,9.0
148,7,2,9.0
148,7,3,9.0
148,7,4,9.0
148,8,0,9.0
148,8,1,9.0
148,8,2,9.0
148,8,3,9.0
148,8,4,9.0
148,9,0,9.0
148,9,1,8.0
148,9,2,9.0
148,9,3,9.0
148,9,4,9.0
148,10,0,9.0
148,10,1,9.0
148,10,2,10.0
148,10,3,9.0
148,10,4,9.0
148,11,0,9.0
148,11,1,9.0
148,11,2,10.0
148,11,3,9.0
148,11,4,10.0
148,12,0,10.0
148,12,1,10.0
148,12,2,10.0
148,12,3,10.0
148,12,4,10.0
148,13,0,10.0
148,13,1,9.0
148,13,2,9.0
148,13,3,9.0
148,13,4,9.0
148,14,0,9.0
148,14,1,9.0
148,14,2,9.0
148,14,3,9.0
148,14,4,9.0
148,15,0,9.0
148,15,1,9.0
148,15,2,9.0
148,15,3,9.0
148,15,4,9.0
148,16,0,10.0
148,16,1,9.0
148,16,2,10.0
148,16,3,9.0
148,16,4,9.0
148,17,0,9.0
148,17,1,9.0
148,17,2,9.0
148,17,3,9.0
148,17,4,9.0
148,18,0,10.0
148,18,1,9.0
148,18,2,9.0
148,18,3,10.0
148,18,4,9.0
148,19,0,10.0
148,19,1,10.0
148,19,2,10.0
148,19,3,10.0
148,19,4,10.0
148,20,0,9.0
148,20,1,9.0
148,20,2,9.0
148,20,3,9.0
148,20,4,9.0
148,21,0,10.0
148,21,1,10.0
148,21,2,10.0
148,21,3,10.0
148,21,4,10.0
148,22,0,10.0
148,22,1,9.0
148,22,2,9.0
148,22,3,9.0
148,22,4,10.0
148,23,0,9.0
148,23,1,9.0
148,23,2,9.0
148,23,3,9.0
148,23,4,9.0
148,24,0,10.0
148,24,1,9.0
148,24,2,10.0
148,24,3,9.0
148,24,4,10.0
148,25,0,10.0
148,25,1,10.0
148,25,2,10.0
148,25,3,10.0
148,25,4,10.0
148,26,0,9.0
148,26,1,9.0
148,26,2,9.0
148,26,3,9.0
148,26,4,10.0
148,27,0,9.0
148,27,1,9.0
148,27,2,9.0
148,27,3,9.0
148,27,4,9.0
148,28,0,10.0
148,28,1,9.0
148,28,2,10.0
148,28,3,9.0
148,28,4,9.0
148,29,0,9.0
148,29,1,9.0
148,29,2,9.0
148,29,3,9.0
148,29,4,8.0
148,30,0,10.0
148,30,1,9.0
148,30,2,10.0
148,30,3,9.0
148,30,4,9.0
