Conversation_ID,Turn_1,Turn_2,Turn_3,Turn_4,Turn_5,Turn_6,Turn_7,Turn_8,Turn_9,Turn_10,Turn_11,Turn_12,Turn_13,Turn_14,Turn_15,Turn_16,Turn_17,Turn_18,Turn_19,Turn_20,Turn_21,Turn_22,Turn_23,Turn_24,Turn_25,Turn_26,Turn_27,Turn_28,Turn_29,Turn_30
0,4.0,8.0,8.0,4.0,7.0,8.0,9.0,3.0,4.0,8.0,9.0,4.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,5.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,4.0
1,7.0,8.0,8.0,8.0,8.0,9.0,9.0,6.0,9.0,4.0,7.0,9.0,9.0,8.0,9.0,4.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0
2,5.0,7.0,7.0,9.0,7.0,8.0,7.0,8.0,8.0,9.0,5.0,8.0,8.0,8.0,6.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,6.0,9.0,8.0
3,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
4,8.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,8.0,4.0,8.0,9.0,5.0,9.0,9.0,6.0
5,4.0,9.0,3.0,8.0,4.0,7.0,8.0,8.0,3.0,2.0,8.0,8.0,9.0,9.0,4.0,3.0,7.0,8.0,9.0,8.0,8.0,6.0,8.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0
6,6.0,4.0,6.0,8.0,8.0,8.0,5.0,9.0,9.0,8.0,7.0,9.0,6.0,6.0,8.0,8.0,9.0,8.0,9.0,9.0,4.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0
7,6.0,8.0,8.0,7.0,9.0,7.0,6.0,4.0,8.0,9.0,9.0,5.0,7.0,8.0,6.0,5.0,9.0,8.0,4.0,4.0,4.0,8.0,4.0,7.0,5.0,4.0,9.0,8.0,3.0,8.0
8,6.0,6.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,6.0,8.0,8.0,9.0,5.0,8.0,6.0,8.0,8.0,9.0,9.0
9,8.0,7.0,8.0,8.0,4.0,4.0,9.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,8.0,4.0,8.0,4.0,3.0,9.0,9.0,4.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0
10,6.0,6.0,6.0,4.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,8.0,9.0,8.0,5.0,7.0,6.0,5.0,8.0,8.0,4.0,4.0,8.0,8.0,7.0,8.0
11,4.0,4.0,8.0,6.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,6.0,9.0,8.0,8.0,8.0,7.0,8.0
12,8.0,4.0,8.0,9.0,8.0,8.0,8.0,8.0,5.0,5.0,8.0,9.0,8.0,9.0,4.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,5.0,9.0,8.0
13,6.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,6.0,8.0,9.0,8.0,9.0,9.0,5.0,9.0,8.0,9.0,9.0,8.0
14,7.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0
