Conversation_Id,Clinical Accuracy & Safety_Rating,Clarity & Understandability_Rating,Actionability_Rating,Empathy & Supportiveness_Rating,Adaptability & Personalization_Rating,Trustworthiness & Ethical Communication_Rating
0,8.0,8.0,8.0,10.0,8.0,9.0
1,8.0,8.0,8.0,10.0,9.0,9.0
2,9.0,8.0,8.0,9.0,8.0,9.0
3,8.0,8.0,8.0,9.0,8.0,9.0
4,8.0,8.0,8.0,10.0,9.0,9.0
5,7.0,7.0,7.0,9.0,8.0,8.0
6,8.0,8.0,7.0,9.0,8.0,9.0
7,7.0,8.0,9.0,9.0,8.0,9.0
8,8.0,8.0,8.0,9.0,8.0,9.0
9,9.0,8.0,9.0,9.0,8.0,9.0
10,8.0,8.0,7.0,9.0,9.0,9.0
11,8.0,8.0,7.0,9.0,9.0,9.0
12,9.0,8.0,9.0,9.0,9.0,9.0
13,8.0,8.0,8.0,9.0,9.0,9.0
14,9.0,8.0,9.0,9.0,9.0,9.0
15,8.0,8.0,8.0,9.0,9.0,9.0
16,8.0,8.0,9.0,10.0,9.0,9.0
17,9.0,9.0,9.0,9.0,8.0,9.0
18,9.0,9.0,9.0,9.0,9.0,9.0
19,9.0,8.0,8.0,9.0,8.0,9.0
20,8.0,8.0,8.0,9.0,8.0,9.0
21,9.0,9.0,9.0,10.0,9.0,9.0
22,8.0,8.0,9.0,10.0,9.0,9.0
23,9.0,8.0,8.0,9.0,8.0,8.0
24,8.0,8.0,9.0,9.0,8.0,9.0
25,8.0,8.0,8.0,9.0,8.0,9.0
26,8.0,8.0,7.0,9.0,8.0,9.0
27,8.0,8.0,6.0,10.0,9.0,9.0
28,9.0,8.0,9.0,9.0,8.0,9.0
29,9.0,9.0,9.0,10.0,9.0,9.0
30,9.0,8.0,9.0,10.0,8.0,9.0
31,8.0,8.0,8.0,9.0,8.0,9.0
32,9.0,8.0,9.0,10.0,9.0,9.0
33,8.0,8.0,8.0,10.0,8.0,9.0
34,9.0,8.0,8.0,9.0,8.0,9.0
35,9.0,9.0,9.0,10.0,9.0,9.0
36,8.0,8.0,6.0,9.0,8.0,9.0
37,8.0,8.0,7.0,9.0,8.0,8.0
38,8.0,8.0,9.0,10.0,8.0,9.0
39,8.0,8.0,9.0,9.0,8.0,9.0
40,8.0,8.0,8.0,9.0,8.0,9.0
41,8.0,8.0,8.0,10.0,8.0,9.0
42,9.0,8.0,8.0,9.0,9.0,9.0
43,8.0,8.0,8.0,9.0,8.0,9.0
44,8.0,8.0,9.0,10.0,8.0,9.0
45,9.0,8.0,9.0,10.0,8.0,9.0
46,9.0,8.0,8.0,9.0,9.0,9.0
47,9.0,9.0,9.0,10.0,9.0,9.0
48,9.0,9.0,9.0,9.0,9.0,9.0
49,9.0,8.0,9.0,9.0,8.0,9.0
50,8.0,8.0,8.0,9.0,8.0,9.0
51,8.0,8.0,7.0,10.0,9.0,9.0
52,9.0,8.0,8.0,9.0,9.0,8.0
53,9.0,8.0,9.0,9.0,8.0,9.0
54,9.0,8.0,8.0,9.0,8.0,9.0
55,8.0,8.0,9.0,10.0,9.0,9.0
56,8.0,7.0,6.0,10.0,8.0,9.0
57,8.0,8.0,8.0,9.0,8.0,9.0
58,8.0,8.0,8.0,9.0,8.0,9.0
59,8.0,8.0,9.0,9.0,8.0,9.0
60,9.0,8.0,9.0,10.0,8.0,9.0
61,8.0,9.0,9.0,10.0,9.0,9.0
62,7.0,8.0,6.0,9.0,8.0,9.0
63,9.0,8.0,8.0,10.0,9.0,9.0
64,9.0,8.0,9.0,9.0,9.0,9.0
65,8.0,8.0,9.0,10.0,8.0,9.0
66,8.0,8.0,8.0,9.0,8.0,9.0
67,8.0,8.0,8.0,9.0,8.0,9.0
68,8.0,8.0,9.0,10.0,9.0,9.0
69,8.0,8.0,8.0,9.0,9.0,9.0
70,9.0,8.0,8.0,10.0,8.0,9.0
71,8.0,8.0,8.0,9.0,8.0,8.0
72,9.0,9.0,9.0,10.0,9.0,9.0
73,8.0,8.0,8.0,9.0,8.0,9.0
74,8.0,8.0,9.0,9.0,9.0,9.0
75,8.0,8.0,8.0,9.0,8.0,9.0
76,7.0,8.0,8.0,9.0,9.0,9.0
77,8.0,8.0,8.0,9.0,8.0,9.0
78,9.0,8.0,9.0,9.0,9.0,9.0
79,9.0,9.0,9.0,9.0,9.0,9.0
80,8.0,8.0,8.0,9.0,9.0,9.0
81,8.0,8.0,9.0,9.0,8.0,9.0
82,9.0,8.0,9.0,10.0,8.0,9.0
83,8.0,8.0,8.0,9.0,8.0,9.0
84,8.0,8.0,7.0,9.0,8.0,8.0
85,8.0,9.0,9.0,10.0,9.0,9.0
86,9.0,8.0,8.0,10.0,9.0,8.0
87,7.0,7.0,7.0,10.0,8.0,8.0
88,8.0,8.0,7.0,9.0,8.0,9.0
89,8.0,8.0,8.0,9.0,8.0,9.0
90,9.0,8.0,9.0,9.0,9.0,9.0
91,8.0,8.0,8.0,9.0,8.0,9.0
92,9.0,8.0,7.0,9.0,8.0,9.0
93,9.0,8.0,9.0,10.0,9.0,9.0
94,9.0,8.0,8.0,9.0,8.0,9.0
95,9.0,8.0,9.0,9.0,9.0,9.0
96,8.0,8.0,8.0,9.0,8.0,8.0
97,9.0,8.0,9.0,10.0,9.0,9.0
98,9.0,9.0,9.0,9.0,9.0,9.0
99,8.0,8.0,8.0,10.0,8.0,8.0
100,9.0,8.0,9.0,10.0,9.0,9.0
101,9.0,8.0,8.0,9.0,8.0,9.0
102,7.0,7.0,8.0,9.0,8.0,8.0
103,8.0,8.0,6.0,10.0,8.0,9.0
104,6.0,7.0,7.0,9.0,8.0,8.0
105,9.0,8.0,9.0,9.0,9.0,9.0
106,8.0,8.0,8.0,9.0,8.0,8.0
107,8.0,7.0,7.0,9.0,8.0,9.0
108,9.0,8.0,9.0,9.0,8.0,9.0
109,8.0,7.0,8.0,9.0,9.0,9.0
110,9.0,8.0,9.0,9.0,9.0,9.0
111,8.0,7.0,6.0,9.0,8.0,9.0
112,8.0,9.0,8.0,10.0,9.0,9.0
113,9.0,9.0,9.0,10.0,9.0,9.0
114,9.0,8.0,9.0,10.0,8.0,9.0
115,9.0,8.0,8.0,9.0,9.0,9.0
116,8.0,8.0,9.0,9.0,8.0,9.0
117,8.0,8.0,9.0,9.0,8.0,9.0
118,8.0,7.0,7.0,9.0,8.0,8.0
119,8.0,8.0,8.0,9.0,8.0,8.0
120,9.0,8.0,8.0,9.0,8.0,9.0
121,9.0,8.0,9.0,9.0,8.0,9.0
122,9.0,8.0,9.0,9.0,8.0,9.0
123,8.0,8.0,8.0,9.0,8.0,9.0
124,8.0,8.0,7.0,9.0,8.0,9.0
125,8.0,8.0,8.0,9.0,8.0,9.0
126,8.0,9.0,9.0,10.0,9.0,9.0
127,9.0,8.0,9.0,10.0,9.0,9.0
128,9.0,8.0,9.0,10.0,9.0,9.0
129,9.0,8.0,7.0,9.0,8.0,9.0
130,8.0,8.0,8.0,10.0,8.0,9.0
131,8.0,8.0,9.0,9.0,8.0,9.0
132,8.0,7.0,7.0,10.0,8.0,9.0
133,8.0,8.0,9.0,10.0,9.0,9.0
134,9.0,8.0,8.0,9.0,9.0,9.0
135,9.0,9.0,9.0,9.0,9.0,9.0
136,8.0,8.0,9.0,10.0,8.0,9.0
137,9.0,9.0,9.0,9.0,9.0,9.0
138,8.0,8.0,8.0,10.0,8.0,9.0
139,9.0,9.0,9.0,10.0,9.0,9.0
140,9.0,8.0,8.0,10.0,8.0,9.0
141,9.0,8.0,8.0,9.0,9.0,9.0
142,8.0,8.0,8.0,9.0,8.0,8.0
143,8.0,8.0,9.0,9.0,8.0,9.0
144,8.0,8.0,7.0,9.0,8.0,8.0
145,8.0,8.0,9.0,9.0,8.0,9.0
146,8.0,8.0,7.0,10.0,8.0,9.0
147,9.0,8.0,9.0,10.0,9.0,9.0
148,9.0,8.0,9.0,10.0,9.0,9.0
149,8.0,8.0,8.0,10.0,9.0,9.0
150,9.0,8.0,8.0,9.0,8.0,9.0
151,8.0,7.0,8.0,9.0,8.0,9.0
152,8.0,8.0,8.0,9.0,8.0,8.0
153,9.0,8.0,9.0,9.0,9.0,9.0
154,9.0,7.0,8.0,10.0,8.0,9.0
155,8.0,8.0,8.0,9.0,9.0,9.0
156,8.0,8.0,7.0,10.0,8.0,9.0
157,8.0,8.0,8.0,10.0,8.0,9.0
158,8.0,7.0,8.0,9.0,8.0,9.0
159,8.0,8.0,9.0,9.0,9.0,8.0
160,9.0,8.0,9.0,10.0,9.0,9.0
161,8.0,8.0,8.0,9.0,8.0,9.0
162,8.0,8.0,9.0,9.0,9.0,9.0
163,8.0,8.0,8.0,10.0,8.0,9.0
164,9.0,8.0,8.0,9.0,9.0,9.0
165,8.0,8.0,7.0,9.0,8.0,9.0
166,8.0,8.0,8.0,9.0,8.0,9.0
167,8.0,8.0,8.0,9.0,8.0,8.0
168,9.0,8.0,9.0,9.0,8.0,9.0
169,9.0,8.0,8.0,10.0,8.0,9.0
170,8.0,8.0,8.0,9.0,8.0,8.0
171,9.0,8.0,8.0,9.0,8.0,9.0
172,8.0,8.0,9.0,10.0,8.0,9.0
173,8.0,7.0,8.0,10.0,9.0,9.0
174,8.0,8.0,8.0,9.0,8.0,9.0
175,9.0,8.0,7.0,9.0,8.0,9.0
176,9.0,8.0,8.0,9.0,8.0,8.0
177,9.0,9.0,8.0,10.0,8.0,9.0
178,8.0,8.0,8.0,10.0,9.0,9.0
179,9.0,9.0,9.0,9.0,9.0,9.0
180,8.0,8.0,8.0,9.0,8.0,8.0
181,9.0,9.0,9.0,10.0,9.0,9.0
182,9.0,8.0,8.0,10.0,9.0,9.0
183,8.0,8.0,8.0,9.0,8.0,8.0
184,8.0,8.0,6.0,9.0,8.0,9.0
185,8.0,8.0,7.0,10.0,9.0,9.0
186,9.0,8.0,9.0,9.0,9.0,9.0
187,9.0,9.0,8.0,10.0,9.0,9.0
188,8.0,8.0,9.0,10.0,9.0,9.0
189,9.0,8.0,7.0,10.0,9.0,9.0
190,9.0,8.0,8.0,9.0,8.0,9.0
191,8.0,8.0,8.0,10.0,9.0,9.0
192,8.0,8.0,8.0,10.0,9.0,9.0
193,8.0,8.0,9.0,9.0,9.0,9.0
194,8.0,8.0,8.0,9.0,8.0,9.0
195,8.0,8.0,9.0,10.0,8.0,9.0
196,8.0,8.0,7.0,9.0,8.0,9.0
197,8.0,8.0,6.0,9.0,8.0,9.0
198,9.0,8.0,9.0,10.0,9.0,9.0
199,8.0,8.0,9.0,9.0,8.0,9.0
200,7.0,7.0,7.0,9.0,8.0,8.0
201,8.0,8.0,8.0,9.0,8.0,8.0
202,8.0,8.0,9.0,9.0,8.0,9.0
203,9.0,8.0,9.0,10.0,9.0,9.0
204,9.0,8.0,8.0,9.0,8.0,9.0
205,8.0,8.0,6.0,9.0,8.0,9.0
206,9.0,9.0,9.0,9.0,8.0,9.0
207,8.0,8.0,8.0,10.0,9.0,9.0
208,9.0,9.0,9.0,9.0,9.0,9.0
209,8.0,8.0,7.0,10.0,8.0,9.0
210,9.0,8.0,7.0,9.0,9.0,9.0
211,9.0,8.0,8.0,10.0,9.0,9.0
212,8.0,8.0,8.0,9.0,8.0,9.0
213,8.0,8.0,7.0,9.0,8.0,9.0
