Conversation_ID,Turn_1,Turn_2,Turn_3,Turn_4,Turn_5,Turn_6,Turn_7,Turn_8,Turn_9,Turn_10,Turn_11,Turn_12,Turn_13,Turn_14,Turn_15,Turn_16,Turn_17,Turn_18,Turn_19,Turn_20,Turn_21,Turn_22,Turn_23,Turn_24,Turn_25,Turn_26,Turn_27,Turn_28,Turn_29,Turn_30
conv_000,6.0,7.0,8.0,6.0,6.0,8.0,8.0,7.0,8.0,6.0,8.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,8.0,8.0
conv_001,7.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,8.0,6.0,8.0,7.0,6.0,7.0,6.0,8.0,8.0,6.0,7.0,6.0,6.0,8.0,7.0,8.0,8.0,6.0,8.0
conv_002,8.0,8.0,8.0,6.0,8.0,7.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0,8.0,6.0,6.0,7.0,7.0,8.0,8.0,6.0,6.0,8.0,8.0,6.0
conv_003,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0
conv_004,7.0,6.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,8.0,7.0,8.0,6.0,6.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0
conv_005,6.0,6.0,8.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,6.0,5.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,6.0
conv_006,8.0,8.0,8.0,7.0,7.0,6.0,6.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0
conv_007,6.0,7.0,5.0,8.0,7.0,6.0,7.0,8.0,8.0,7.0,6.0,6.0,7.0,6.0,8.0,5.0,7.0,6.0,6.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0
conv_008,8.0,8.0,7.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0,6.0,8.0,6.0,8.0,6.0,7.0,6.0,8.0,7.0,8.0,6.0,7.0,6.0,8.0,7.0,8.0,6.0,6.0,6.0,6.0
conv_009,6.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,6.0,6.0,8.0,8.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,8.0
