Conversation_Id,Clinical Accuracy & Safety_Rating,Clarity & Understandability_Rating,Actionability_Rating,Empathy & Supportiveness_Rating,Adaptability & Personalization_Rating,Trustworthiness & Ethical Communication_Rating
0,8.0,8.0,8.0,8.0,8.0,8.0
1,5.0,5.0,5.0,8.0,8.0,5.0
2,8.0,5.0,8.0,8.0,8.0,8.0
3,8.0,8.0,8.0,8.0,8.0,8.0
4,8.0,8.0,8.0,8.0,8.0,8.0
5,8.0,8.0,8.0,8.0,8.0,8.0
6,8.0,8.0,8.0,8.0,8.0,8.0
7,8.0,8.0,8.0,8.0,8.0,8.0
8,8.0,8.0,8.0,8.0,8.0,8.0
9,8.0,8.0,8.0,8.0,8.0,8.0
10,8.0,8.0,8.0,8.0,8.0,8.0
11,8.0,8.0,8.0,8.0,8.0,8.0
12,5.0,5.0,8.0,8.0,8.0,5.0
13,5.0,5.0,8.0,8.0,8.0,8.0
14,5.0,5.0,8.0,8.0,8.0,5.0
15,5.0,5.0,5.0,8.0,8.0,5.0
16,8.0,8.0,8.0,8.0,8.0,8.0
17,8.0,8.0,8.0,8.0,8.0,8.0
18,5.0,5.0,8.0,8.0,8.0,5.0
19,8.0,8.0,8.0,8.0,8.0,8.0
20,8.0,8.0,8.0,8.0,8.0,8.0
21,8.0,5.0,8.0,8.0,8.0,8.0
22,8.0,8.0,8.0,8.0,8.0,8.0
23,8.0,8.0,8.0,8.0,8.0,8.0
24,8.0,8.0,8.0,8.0,8.0,8.0
25,8.0,8.0,8.0,8.0,8.0,8.0
26,8.0,8.0,8.0,8.0,8.0,8.0
27,8.0,8.0,8.0,8.0,8.0,8.0
28,8.0,8.0,8.0,8.0,8.0,8.0
29,8.0,8.0,8.0,8.0,8.0,8.0
30,8.0,8.0,8.0,8.0,8.0,8.0
31,8.0,8.0,8.0,8.0,8.0,8.0
32,8.0,8.0,8.0,8.0,8.0,8.0
33,8.0,8.0,8.0,8.0,8.0,8.0
34,8.0,8.0,8.0,8.0,8.0,8.0
35,8.0,8.0,8.0,8.0,8.0,8.0
36,8.0,8.0,8.0,8.0,8.0,8.0
37,8.0,8.0,8.0,8.0,8.0,8.0
38,8.0,8.0,8.0,8.0,8.0,8.0
39,8.0,8.0,8.0,8.0,8.0,8.0
40,5.0,5.0,8.0,8.0,8.0,5.0
41,8.0,8.0,8.0,8.0,8.0,8.0
42,8.0,8.0,8.0,8.0,8.0,8.0
43,8.0,8.0,8.0,8.0,8.0,8.0
44,8.0,8.0,8.0,8.0,8.0,8.0
45,8.0,5.0,8.0,8.0,8.0,5.0
46,5.0,5.0,8.0,5.0,8.0,5.0
47,8.0,8.0,8.0,8.0,8.0,8.0
48,8.0,8.0,8.0,8.0,8.0,8.0
49,5.0,8.0,8.0,8.0,8.0,8.0
50,8.0,8.0,8.0,8.0,8.0,8.0
51,8.0,8.0,8.0,8.0,8.0,8.0
52,5.0,8.0,8.0,8.0,8.0,8.0
53,8.0,8.0,8.0,8.0,8.0,8.0
54,8.0,8.0,8.0,8.0,8.0,8.0
55,8.0,8.0,8.0,8.0,8.0,8.0
56,8.0,8.0,8.0,8.0,8.0,8.0
57,8.0,8.0,8.0,8.0,8.0,8.0
58,8.0,8.0,8.0,8.0,8.0,8.0
59,8.0,8.0,8.0,8.0,8.0,8.0
60,8.0,8.0,8.0,8.0,8.0,8.0
61,8.0,8.0,8.0,8.0,8.0,8.0
62,8.0,8.0,8.0,8.0,8.0,8.0
63,5.0,5.0,8.0,8.0,8.0,5.0
64,8.0,8.0,8.0,8.0,8.0,8.0
65,8.0,8.0,8.0,8.0,8.0,8.0
66,8.0,8.0,8.0,8.0,8.0,8.0
67,8.0,8.0,8.0,8.0,8.0,8.0
68,8.0,8.0,8.0,8.0,8.0,8.0
69,8.0,8.0,8.0,8.0,8.0,8.0
70,5.0,5.0,8.0,8.0,8.0,5.0
71,8.0,8.0,8.0,8.0,8.0,8.0
72,5.0,5.0,8.0,8.0,8.0,10.0
73,8.0,8.0,8.0,8.0,8.0,8.0
74,8.0,8.0,8.0,8.0,8.0,8.0
75,8.0,8.0,8.0,8.0,8.0,8.0
76,8.0,8.0,8.0,8.0,8.0,8.0
77,8.0,8.0,8.0,8.0,8.0,8.0
78,5.0,5.0,8.0,8.0,8.0,5.0
79,5.0,5.0,8.0,8.0,8.0,5.0
80,8.0,8.0,8.0,8.0,8.0,8.0
81,8.0,8.0,8.0,8.0,8.0,8.0
82,5.0,8.0,5.0,8.0,8.0,8.0
83,8.0,8.0,8.0,8.0,8.0,8.0
84,8.0,8.0,8.0,8.0,8.0,8.0
85,8.0,8.0,8.0,8.0,8.0,8.0
86,8.0,8.0,8.0,8.0,8.0,8.0
87,8.0,8.0,8.0,8.0,8.0,8.0
88,8.0,8.0,8.0,8.0,8.0,8.0
89,8.0,8.0,8.0,8.0,8.0,8.0
90,8.0,8.0,8.0,8.0,8.0,8.0
91,8.0,8.0,8.0,8.0,8.0,8.0
92,8.0,8.0,8.0,8.0,8.0,8.0
93,5.0,5.0,8.0,8.0,8.0,8.0
94,8.0,8.0,8.0,8.0,8.0,8.0
95,8.0,8.0,8.0,8.0,8.0,8.0
96,8.0,8.0,8.0,8.0,8.0,8.0
97,8.0,8.0,8.0,8.0,8.0,8.0
98,5.0,8.0,8.0,8.0,8.0,8.0
99,8.0,8.0,8.0,8.0,8.0,8.0
100,5.0,5.0,8.0,8.0,8.0,8.0
101,8.0,8.0,8.0,8.0,8.0,8.0
102,8.0,8.0,8.0,8.0,8.0,8.0
103,8.0,8.0,8.0,8.0,8.0,8.0
104,8.0,8.0,8.0,8.0,8.0,8.0
105,8.0,8.0,8.0,8.0,8.0,8.0
106,8.0,8.0,8.0,8.0,8.0,8.0
107,8.0,8.0,8.0,8.0,8.0,8.0
