conversation_id,user_rating,self_rating,judge_rating,total_turns,avg_user_length,avg_bot_length,primary_language,error_rate,error_count
conv_000,9.0,8.5,8.5,30,100.13,667.9,Dutch,0.533,16
conv_001,9.0,8.5,8.5,30,96.13,675.6,English,0.533,16
conv_002,8.5,8.5,8.5,30,96.83,680.87,English,0.533,16
conv_003,9.0,8.5,8.5,30,96.57,633.43,Portuguese,0.533,16
conv_004,9.0,9.0,8.5,30,93.27,604.93,Spanish,0.533,16
conv_005,9.0,8.5,9.0,30,116.8,753.53,French,0.533,16
conv_006,9.0,8.5,8.5,30,78.9,474.33,Arabic,0.533,16
conv_007,9.0,8.5,8.5,30,99.7,707.63,Dutch,0.533,16
conv_008,9.0,9.0,8.5,30,102.47,645.17,Spanish,0.533,16
conv_009,9.0,8.5,8.5,30,86.97,661.87,Dutch,0.533,16
conv_010,9.0,8.5,8.5,30,106.6,656.23,French,0.533,16
conv_011,9.0,8.5,8.5,30,111.63,689.3,German,0.533,16
conv_012,9.0,8.5,8.5,30,100.7,720.67,English,0.533,16
conv_013,9.0,8.5,9.0,30,106.87,702.63,English,0.533,16
conv_014,9.0,8.5,8.5,30,99.17,716.3,English,0.533,16
conv_015,9.0,8.5,8.5,30,109.07,706.73,English,0.533,16
conv_016,9.0,9.0,8.5,30,97.97,688.73,French,0.533,16
conv_017,9.0,8.5,8.5,30,102.03,628.2,Spanish,0.533,16
conv_018,9.0,9.0,8.5,30,103.77,684.37,English,0.533,16
conv_019,9.0,9.0,9.0,30,122.8,705.2,French,0.533,16
conv_020,9.0,8.5,9.0,30,123.83,678.73,French,0.533,16
conv_021,9.0,9.0,9.0,30,97.33,691.2,English,0.533,16
conv_022,9.0,9.0,9.0,30,130.07,705.93,French,0.533,16
conv_023,9.0,9.0,8.5,30,78.7,488.4,Arabic,0.533,16
conv_024,9.0,9.0,8.5,30,90.8,586.87,Swahili,0.533,16
conv_025,9.0,9.0,9.0,30,107.73,598.93,Spanish,0.533,16
conv_026,9.0,8.5,8.5,30,98.53,573.83,Swahili,0.533,16
conv_027,9.0,8.5,8.5,30,94.77,634.13,Dutch,0.533,16
conv_028,9.0,9.0,8.5,30,108.67,629.43,Spanish,0.533,16
conv_029,9.0,9.0,9.0,30,94.73,682.7,English,0.533,16
conv_030,9.0,9.0,9.0,30,99.4,655.7,Spanish,0.533,16
conv_031,9.0,8.5,8.5,30,83.83,485.97,Arabic,0.533,16
conv_032,9.0,9.0,9.0,30,105.57,634.7,Spanish,0.533,16
conv_033,9.0,8.5,9.0,30,105.57,676.23,French,0.533,16
conv_034,9.0,9.0,8.5,30,101.93,682.4,Dutch,0.533,16
conv_035,9.0,8.5,9.0,30,117.4,727.43,English,0.533,16
conv_036,9.0,8.5,8.5,30,100.83,661.13,German,0.533,16
conv_037,9.0,8.5,8.5,30,100.7,672.33,Dutch,0.533,16
conv_038,9.0,9.0,9.0,30,109.17,629.0,Spanish,0.533,16
conv_039,9.0,8.5,9.0,30,110.0,682.53,French,0.533,16
conv_040,9.0,8.5,8.5,30,117.53,719.93,English,0.533,16
conv_041,9.0,8.5,8.5,30,95.97,653.2,Portuguese,0.533,16
conv_042,9.0,8.5,8.5,30,107.1,658.13,English,0.533,16
conv_043,9.0,8.5,8.5,30,118.0,690.5,French,0.533,16
conv_044,9.0,9.0,8.5,30,95.53,641.7,Dutch,0.533,16
conv_045,9.0,9.0,9.0,30,103.2,685.0,English,0.533,16
conv_046,9.0,8.5,8.5,30,104.1,710.33,English,0.533,16
conv_047,9.0,9.0,8.5,30,107.47,689.87,English,0.533,16
conv_048,9.0,9.0,8.5,30,90.07,689.1,English,0.533,16
conv_049,9.0,9.0,8.5,30,95.33,694.8,English,0.533,16
conv_050,9.0,9.0,8.5,30,117.47,684.1,French,0.533,16
conv_051,9.0,8.5,8.5,30,101.17,636.73,Portuguese,0.533,16
conv_052,9.0,8.5,8.5,30,103.27,693.1,English,0.533,16
conv_053,9.0,9.0,9.0,30,111.1,624.97,Spanish,0.533,16
conv_054,9.0,8.5,9.0,30,105.57,656.3,Portuguese,0.533,16
conv_055,9.0,9.0,9.0,30,109.67,655.9,Spanish,0.533,16
conv_056,8.5,8.5,8.5,30,100.47,601.2,Spanish,0.533,16
conv_057,9.0,8.5,8.5,30,106.73,686.7,French,0.533,16
conv_058,9.0,8.5,8.5,30,108.8,635.33,Portuguese,0.533,16
conv_059,9.0,9.0,9.0,30,101.4,635.97,Spanish,0.533,16
conv_060,9.0,9.0,9.0,30,100.3,646.1,Spanish,0.533,16
conv_061,9.0,8.5,9.0,30,90.03,710.27,English,0.533,16
conv_062,8.5,8.5,8.5,30,109.63,625.77,Portuguese,0.533,16
conv_063,9.0,8.5,8.5,30,89.33,692.0,English,0.533,16
conv_064,9.0,9.0,9.0,30,98.5,681.8,French,0.533,16
conv_065,9.0,9.0,8.5,30,91.4,575.0,Swahili,0.533,16
conv_066,9.0,8.5,8.5,30,76.03,465.57,Arabic,0.533,16
conv_067,9.0,9.0,8.5,30,110.83,571.77,Swahili,0.533,16
conv_068,9.0,9.0,9.0,30,116.8,704.7,German,0.533,16
