conversation_id,medical_accuracy,empathy,cultural_sensitivity,conversation_flow,safety_ethics,prep_specific,total_turns,avg_user_length,avg_bot_length,primary_language,error_rate,unique_languages
conv_000,8.5,8.5,9.5,8.5,8.5,8.5,30,100.13333333333334,667.9,Dutch,0.5333333333333333,1
conv_001,8.5,9.5,9.5,8.5,8.5,8.5,30,96.13333333333334,675.6,English,0.5333333333333333,1
conv_002,8.5,8.5,8.5,8.5,8.5,8.5,30,96.83333333333333,680.8666666666667,English,0.5333333333333333,1
conv_003,8.5,9.5,9.5,8.5,9.0,9.5,30,96.56666666666666,633.4333333333333,Portuguese,0.5333333333333333,1
conv_004,9.5,9.5,9.5,8.5,9.5,9.0,30,93.26666666666667,604.9333333333333,Spanish,0.5333333333333333,1
conv_005,8.5,8.5,9.5,8.5,9.5,9.5,30,116.8,753.5333333333333,French,0.5333333333333333,1
conv_006,8.5,9.5,9.5,8.5,8.5,8.5,30,78.9,474.3333333333333,Arabic,0.5333333333333333,1
conv_007,9.0,9.0,9.5,8.5,9.5,9.5,30,99.7,707.6333333333333,Dutch,0.5333333333333333,1
conv_008,8.5,9.5,9.5,8.5,9.5,9.5,30,102.46666666666667,645.1666666666666,Spanish,0.5333333333333333,1
conv_009,8.5,8.5,8.5,8.5,8.5,8.5,30,86.96666666666667,661.8666666666667,Dutch,0.5333333333333333,1
conv_010,8.5,9.5,9.5,8.5,8.5,8.5,30,106.6,656.2333333333333,French,0.5333333333333333,1
conv_011,8.5,8.5,9.5,8.5,8.5,8.5,30,111.63333333333334,689.3,German,0.5333333333333333,1
conv_012,8.5,9.0,9.0,8.5,9.0,9.5,30,100.7,720.6666666666666,English,0.5333333333333333,1
conv_013,8.5,8.5,9.5,8.5,8.5,9.0,30,106.86666666666666,702.6333333333333,English,0.5333333333333333,1
conv_014,8.5,8.5,9.5,8.5,9.5,8.5,30,99.16666666666667,716.3,English,0.5333333333333333,1
conv_015,8.5,8.5,8.5,8.5,8.5,9.0,30,109.06666666666666,706.7333333333333,English,0.5333333333333333,1
conv_016,9.5,9.5,9.5,8.5,9.5,9.5,30,97.96666666666667,688.7333333333333,French,0.5333333333333333,1
conv_017,9.5,9.5,9.5,9.5,9.5,9.5,30,102.03333333333333,628.2,Spanish,0.5333333333333333,1
conv_018,9.0,9.5,9.5,8.5,9.0,8.5,30,103.76666666666667,684.3666666666667,English,0.5333333333333333,1
conv_019,8.5,9.5,9.5,8.5,9.5,9.5,30,122.8,705.2,French,0.5333333333333333,1
conv_020,9.0,8.5,9.5,8.5,9.0,9.5,30,123.83333333333333,678.7333333333333,French,0.5333333333333333,1
conv_021,9.5,9.5,9.5,9.5,9.5,8.5,30,97.33333333333333,691.2,English,0.5333333333333333,1
conv_022,9.5,9.5,9.5,8.5,9.5,9.5,30,130.06666666666666,705.9333333333333,French,0.5333333333333333,1
conv_023,9.0,8.5,9.5,8.5,9.5,9.5,30,78.7,488.4,Arabic,0.5333333333333333,1
conv_024,8.5,9.5,9.5,8.5,9.5,9.5,30,90.8,586.8666666666667,Swahili,0.5333333333333333,1
conv_025,8.5,9.5,9.5,8.5,8.5,8.5,30,107.73333333333333,598.9333333333333,Spanish,0.5333333333333333,1
conv_026,8.5,9.5,9.5,8.5,9.0,8.5,30,98.53333333333333,573.8333333333334,Swahili,0.5333333333333333,1
