Conversation_Id,Clinical Accuracy & Safety_Rating,Clarity & Understandability_Rating,Actionability_Rating,Empathy & Supportiveness_Rating,Adaptability & Personalization_Rating,Trustworthiness & Ethical Communication_Rating
0,7.0,7.0,4.0,8.0,6.0,7.0
1,7.0,7.0,4.0,7.0,6.0,6.0
2,8.0,7.0,7.0,8.0,7.0,8.0
3,4.0,4.0,2.0,2.0,2.0,2.0
4,7.0,7.0,4.0,9.0,7.0,8.0
5,7.0,7.0,6.0,8.0,6.0,8.0
6,6.0,4.0,2.0,7.0,4.0,6.0
7,7.0,7.0,4.0,8.0,6.0,8.0
8,7.0,6.0,4.0,8.0,6.0,7.0
9,8.0,8.0,7.0,9.0,8.0,8.0
10,6.0,6.0,4.0,8.0,6.0,7.0
11,7.0,7.0,6.0,8.0,7.0,7.0
12,8.0,7.0,7.0,8.0,7.0,7.0
13,8.0,7.0,7.0,8.0,8.0,8.0
14,8.0,8.0,8.0,9.0,8.0,8.0
15,7.0,7.0,7.0,8.0,7.0,7.0
16,7.0,7.0,7.0,9.0,8.0,8.0
17,7.0,7.0,6.0,8.0,7.0,7.0
18,8.0,8.0,7.0,9.0,8.0,8.0
19,8.0,7.0,6.0,8.0,7.0,7.0
20,8.0,7.0,7.0,9.0,8.0,8.0
21,7.0,7.0,7.0,9.0,8.0,8.0
22,7.0,6.0,6.0,7.0,6.0,7.0
23,7.0,7.0,4.0,8.0,6.0,7.0
24,8.0,7.0,7.0,8.0,7.0,7.0
25,8.0,7.0,6.0,8.0,7.0,8.0
26,8.0,7.0,6.0,9.0,7.0,8.0
27,7.0,7.0,4.0,8.0,6.0,7.0
28,7.0,7.0,6.0,8.0,7.0,8.0
29,8.0,7.0,7.0,8.0,7.0,7.0
30,8.0,7.0,6.0,8.0,8.0,8.0
31,6.0,4.0,4.0,9.0,6.0,6.0
32,7.0,6.0,4.0,8.0,6.0,8.0
33,7.0,7.0,2.0,8.0,6.0,6.0
34,7.0,7.0,4.0,7.0,4.0,6.0
35,8.0,8.0,7.0,9.0,8.0,8.0
36,7.0,7.0,4.0,10.0,7.0,8.0
37,4.0,4.0,2.0,7.0,4.0,4.0
38,7.0,6.0,4.0,8.0,4.0,7.0
39,6.0,4.0,2.0,7.0,4.0,4.0
40,8.0,8.0,7.0,9.0,8.0,8.0
41,7.0,6.0,2.0,9.0,6.0,7.0
42,8.0,8.0,7.0,8.0,8.0,8.0
43,7.0,7.0,6.0,9.0,7.0,8.0
44,7.0,6.0,4.0,9.0,6.0,7.0
45,8.0,8.0,7.0,9.0,8.0,8.0
46,8.0,7.0,7.0,9.0,8.0,8.0
47,8.0,7.0,7.0,9.0,8.0,7.0
48,7.0,7.0,6.0,8.0,6.0,7.0
49,8.0,8.0,7.0,9.0,8.0,8.0
50,7.0,7.0,6.0,9.0,8.0,7.0
51,8.0,7.0,2.0,9.0,7.0,8.0
52,7.0,7.0,6.0,8.0,7.0,7.0
53,8.0,7.0,7.0,8.0,7.0,8.0
54,8.0,8.0,7.0,9.0,8.0,8.0
55,7.0,6.0,2.0,6.0,4.0,2.0
56,6.0,4.0,4.0,2.0,2.0,2.0
57,8.0,8.0,6.0,10.0,8.0,8.0
58,4.0,4.0,2.0,2.0,2.0,2.0
59,7.0,7.0,4.0,8.0,7.0,8.0
60,8.0,7.0,6.0,8.0,7.0,8.0
61,8.0,7.0,8.0,9.0,8.0,8.0
62,6.0,6.0,4.0,7.0,6.0,7.0
63,8.0,8.0,7.0,9.0,8.0,8.0
64,7.0,6.0,6.0,8.0,6.0,7.0
65,8.0,8.0,7.0,9.0,8.0,8.0
66,6.0,4.0,4.0,7.0,4.0,6.0
67,8.0,8.0,7.0,9.0,8.0,8.0
68,8.0,7.0,7.0,9.0,8.0,8.0
69,7.0,6.0,4.0,8.0,6.0,7.0
70,9.0,8.0,8.0,9.0,8.0,8.0
71,8.0,7.0,6.0,8.0,6.0,8.0
72,8.0,8.0,8.0,10.0,8.0,8.0
73,8.0,8.0,7.0,10.0,8.0,8.0
74,8.0,7.0,6.0,10.0,8.0,8.0
75,8.0,8.0,7.0,9.0,7.0,8.0
76,8.0,8.0,7.0,9.0,8.0,8.0
77,7.0,7.0,6.0,9.0,7.0,7.0
78,8.0,7.0,7.0,9.0,7.0,8.0
79,8.0,7.0,7.0,9.0,8.0,8.0
80,7.0,7.0,6.0,9.0,7.0,7.0
81,8.0,7.0,8.0,9.0,8.0,8.0
82,8.0,7.0,7.0,9.0,8.0,8.0
83,7.0,7.0,7.0,8.0,7.0,7.0
84,8.0,7.0,6.0,9.0,7.0,8.0
85,7.0,7.0,4.0,9.0,6.0,8.0
86,6.0,4.0,4.0,7.0,6.0,6.0
87,8.0,8.0,7.0,9.0,7.0,8.0
88,7.0,7.0,2.0,8.0,6.0,8.0
89,8.0,7.0,7.0,9.0,8.0,8.0
90,4.0,4.0,4.0,7.0,6.0,6.0
91,7.0,6.0,4.0,8.0,6.0,7.0
92,7.0,7.0,7.0,9.0,7.0,8.0
93,8.0,7.0,7.0,9.0,8.0,8.0
94,7.0,7.0,4.0,9.0,7.0,8.0
95,8.0,8.0,7.0,9.0,8.0,8.0
96,8.0,8.0,7.0,9.0,8.0,8.0
97,7.0,7.0,6.0,9.0,7.0,8.0
98,7.0,7.0,7.0,8.0,6.0,7.0
99,7.0,6.0,2.0,7.0,6.0,6.0
100,7.0,7.0,7.0,9.0,7.0,7.0
101,7.0,7.0,6.0,8.0,6.0,7.0
102,6.0,4.0,2.0,6.0,2.0,6.0
103,7.0,7.0,6.0,8.0,7.0,7.0
104,7.0,6.0,2.0,7.0,2.0,7.0
105,7.0,7.0,4.0,8.0,4.0,7.0
106,8.0,7.0,7.0,9.0,8.0,8.0
107,6.0,4.0,4.0,7.0,6.0,7.0
108,8.0,8.0,8.0,9.0,8.0,8.0
109,7.0,7.0,6.0,8.0,7.0,7.0
110,8.0,7.0,7.0,8.0,8.0,8.0
111,6.0,7.0,4.0,8.0,6.0,6.0
112,8.0,7.0,6.0,9.0,7.0,8.0
113,6.0,6.0,2.0,7.0,2.0,6.0
114,7.0,7.0,4.0,8.0,7.0,7.0
115,8.0,7.0,6.0,9.0,7.0,8.0
116,7.0,7.0,6.0,8.0,7.0,8.0
117,8.0,8.0,7.0,9.0,7.0,8.0
118,8.0,8.0,7.0,9.0,8.0,8.0
119,7.0,6.0,4.0,8.0,6.0,7.0
120,6.0,4.0,4.0,7.0,4.0,6.0
121,8.0,8.0,7.0,9.0,8.0,8.0
122,7.0,6.0,2.0,8.0,6.0,8.0
123,8.0,7.0,7.0,9.0,8.0,7.0
124,6.0,6.0,4.0,6.0,2.0,6.0
125,7.0,7.0,6.0,8.0,7.0,8.0
126,7.0,7.0,6.0,8.0,7.0,8.0
127,8.0,8.0,7.0,9.0,8.0,8.0
128,8.0,7.0,7.0,9.0,8.0,8.0
129,8.0,7.0,7.0,9.0,7.0,8.0
130,7.0,7.0,6.0,8.0,7.0,7.0
131,4.0,4.0,4.0,7.0,2.0,6.0
132,7.0,7.0,4.0,9.0,7.0,7.0
133,7.0,7.0,6.0,9.0,7.0,7.0
134,7.0,7.0,6.0,9.0,7.0,7.0
135,8.0,8.0,7.0,9.0,8.0,8.0
136,8.0,8.0,7.0,9.0,7.0,8.0
137,7.0,6.0,4.0,8.0,6.0,8.0
138,7.0,6.0,6.0,8.0,6.0,7.0
139,8.0,7.0,8.0,9.0,8.0,8.0
140,7.0,7.0,4.0,9.0,7.0,7.0
141,7.0,6.0,4.0,7.0,6.0,6.0
142,7.0,7.0,6.0,9.0,7.0,8.0
143,7.0,8.0,7.0,9.0,8.0,7.0
144,8.0,7.0,6.0,9.0,7.0,8.0
145,7.0,7.0,7.0,8.0,7.0,8.0
146,6.0,6.0,6.0,8.0,4.0,6.0
147,7.0,4.0,2.0,7.0,2.0,7.0
148,7.0,7.0,7.0,10.0,8.0,9.0
149,8.0,7.0,6.0,9.0,8.0,8.0
150,7.0,6.0,4.0,8.0,6.0,7.0
151,7.0,7.0,6.0,8.0,7.0,8.0
152,8.0,8.0,7.0,9.0,8.0,8.0
153,7.0,6.0,4.0,9.0,6.0,8.0
154,8.0,8.0,7.0,10.0,8.0,8.0
155,6.0,4.0,4.0,7.0,2.0,6.0
156,7.0,7.0,4.0,8.0,6.0,7.0
157,8.0,7.0,6.0,9.0,8.0,8.0
158,6.0,4.0,4.0,7.0,4.0,4.0
159,7.0,4.0,4.0,8.0,2.0,7.0
160,7.0,7.0,4.0,8.0,6.0,7.0
161,8.0,7.0,7.0,9.0,7.0,8.0
162,8.0,7.0,7.0,9.0,8.0,8.0
163,7.0,7.0,6.0,9.0,7.0,8.0
164,7.0,7.0,6.0,8.0,6.0,7.0
165,8.0,7.0,6.0,9.0,7.0,8.0
166,7.0,7.0,7.0,8.0,7.0,7.0
167,7.0,7.0,7.0,9.0,7.0,8.0
168,7.0,7.0,6.0,9.0,8.0,7.0
169,7.0,7.0,6.0,9.0,7.0,7.0
170,8.0,7.0,7.0,9.0,8.0,8.0
171,4.0,4.0,4.0,2.0,4.0,4.0
172,7.0,7.0,6.0,9.0,6.0,8.0
173,7.0,7.0,4.0,8.0,6.0,8.0
174,7.0,7.0,6.0,8.0,7.0,7.0
175,7.0,7.0,4.0,8.0,7.0,7.0
176,6.0,6.0,4.0,9.0,6.0,8.0
177,8.0,4.0,4.0,8.0,6.0,8.0
178,7.0,6.0,4.0,7.0,4.0,7.0
179,7.0,6.0,6.0,8.0,6.0,7.0
180,8.0,7.0,7.0,9.0,7.0,8.0
181,7.0,7.0,7.0,9.0,9.0,7.0
182,8.0,7.0,8.0,8.0,8.0,8.0
183,7.0,7.0,6.0,8.0,7.0,8.0
184,8.0,7.0,7.0,9.0,8.0,8.0
185,8.0,6.0,6.0,9.0,7.0,8.0
186,8.0,8.0,8.0,9.0,9.0,9.0
187,7.0,7.0,6.0,8.0,8.0,8.0
188,8.0,7.0,7.0,9.0,7.0,7.0
189,7.0,7.0,6.0,9.0,7.0,8.0
190,8.0,8.0,9.0,9.0,9.0,9.0
191,7.0,6.0,6.0,8.0,7.0,7.0
192,8.0,7.0,8.0,9.0,9.0,8.0
193,7.0,6.0,6.0,9.0,7.0,8.0
194,8.0,8.0,8.0,9.0,9.0,9.0
195,7.0,7.0,7.0,8.0,8.0,8.0
196,7.0,6.0,4.0,8.0,7.0,7.0
197,7.0,7.0,7.0,9.0,8.0,8.0
198,7.0,8.0,7.0,9.0,8.0,8.0
199,7.0,7.0,7.0,9.0,7.0,8.0
200,8.0,8.0,8.0,9.0,9.0,8.0
201,9.0,8.0,9.0,9.0,9.0,8.0
202,8.0,8.0,8.0,9.0,8.0,8.0
203,8.0,8.0,8.0,9.0,8.0,8.0
204,7.0,7.0,7.0,8.0,8.0,8.0
205,8.0,8.0,7.0,9.0,8.0,8.0
206,7.0,7.0,8.0,8.0,8.0,8.0
207,7.0,4.0,6.0,7.0,6.0,7.0
208,8.0,8.0,8.0,9.0,9.0,8.0
209,7.0,6.0,6.0,8.0,7.0,7.0
210,8.0,8.0,8.0,9.0,8.0,8.0
211,7.0,8.0,7.0,9.0,9.0,8.0
212,8.0,8.0,8.0,9.0,9.0,8.0
213,9.0,8.0,8.0,8.0,8.0,9.0
214,8.0,7.0,6.0,8.0,6.0,7.0
215,8.0,8.0,8.0,9.0,8.0,8.0
216,7.0,7.0,7.0,8.0,8.0,8.0
217,7.0,7.0,7.0,8.0,8.0,8.0
218,7.0,6.0,6.0,8.0,7.0,7.0
219,7.0,7.0,6.0,8.0,8.0,8.0
220,7.0,6.0,7.0,8.0,7.0,8.0
221,8.0,7.0,8.0,9.0,8.0,8.0
222,7.0,6.0,6.0,8.0,7.0,7.0
223,7.0,4.0,6.0,9.0,8.0,8.0
