Conversation_ID,Turn_1,Turn_2,Turn_3,Turn_4,Turn_5,Turn_6,Turn_7,Turn_8,Turn_9,Turn_10,Turn_11,Turn_12,Turn_13,Turn_14,Turn_15,Turn_16,Turn_17,Turn_18,Turn_19,Turn_20,Turn_21,Turn_22,Turn_23,Turn_24,Turn_25,Turn_26,Turn_27,Turn_28,Turn_29,Turn_30
conv_000,3.0,8.0,8.0,7.0,4.0,8.0,8.0,8.0,3.0,7.0,8.0,4.0,2.0,8.0,7.0,7.0,2.0,8.0,8.0,7.0,8.0,3.0,8.0,6.0,2.0,2.0,8.0,3.0,8.0,5.0
conv_001,2.0,4.0,8.0,8.0,8.0,7.0,8.0,8.0,2.0,3.0,2.0,7.0,3.0,8.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,6.0,4.0,7.0,7.0,8.0,7.0,7.0,2.0
conv_002,7.0,8.0,8.0,3.0,6.0,8.0,2.0,2.0,3.0,7.0,7.0,2.0,7.0,5.0,8.0,3.0,7.0,2.0,7.0,2.0,2.0,5.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,7.0
conv_003,2.0,3.0,3.0,2.0,2.0,3.0,7.0,7.0,3.0,7.0,3.0,7.0,5.0,7.0,4.0,8.0,7.0,2.0,5.0,7.0,7.0,7.0,5.0,7.0,3.0,7.0,4.0,1.0,5.0,2.0
conv_004,7.0,8.0,7.0,7.0,3.0,7.0,5.0,3.0,4.0,7.0,7.0,6.0,4.0,5.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,6.0,7.0,8.0,7.0,6.0,5.0,6.0,7.0,7.0
conv_005,7.0,6.0,8.0,7.0,5.0,8.0,8.0,7.0,7.0,8.0,5.0,3.0,8.0,4.0,3.0,8.0,6.0,8.0,5.0,7.0,3.0,8.0,2.0,3.0,8.0,7.0,7.0,6.0,7.0,7.0
conv_006,2.0,6.0,4.0,7.0,3.0,5.0,6.0,7.0,5.0,5.0,5.0,7.0,2.0,4.0,2.0,4.0,2.0,7.0,2.0,4.0,7.0,3.0,6.0,7.0,6.0,4.0,2.0,4.0,5.0,5.0
conv_007,6.0,8.0,8.0,8.0,4.0,3.0,6.0,4.0,7.0,4.0,6.0,3.0,4.0,4.0,8.0,6.0,8.0,7.0,4.0,2.0,4.0,7.0,8.0,3.0,7.0,5.0,4.0,4.0,8.0,3.0
conv_008,7.0,8.0,7.0,3.0,8.0,7.0,8.0,5.0,7.0,6.0,7.0,8.0,7.0,5.0,4.0,7.0,6.0,2.0,4.0,7.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,5.0,7.0,8.0
conv_009,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,4.0,7.0,8.0,8.0,4.0,8.0,8.0,6.0,8.0,7.0,8.0,7.0,7.0,8.0,5.0,6.0,5.0,2.0,8.0,7.0
