Conversation_Id,Clinical Accuracy & Safety_Rating,Clarity & Understandability_Rating,Actionability_Rating,Empathy & Supportiveness_Rating,Adaptability & Personalization_Rating,Trustworthiness & Ethical Communication_Rating
0,9.0,8.0,8.0,9.0,8.0,8.0
1,8.0,8.0,8.0,9.0,8.0,8.0
2,9.0,8.0,8.0,9.0,8.0,8.0
3,8.0,8.0,7.0,9.0,8.0,8.0
4,9.0,8.0,9.0,10.0,8.0,9.0
5,8.0,8.0,8.0,9.0,8.0,8.0
6,8.0,8.0,7.0,10.0,8.0,8.0
7,8.0,8.0,8.0,9.0,8.0,8.0
8,8.0,8.0,8.0,9.0,8.0,8.0
9,8.0,8.0,9.0,9.0,8.0,8.0
10,8.0,7.0,7.0,10.0,8.0,9.0
11,8.0,8.0,8.0,9.0,8.0,8.0
12,8.0,8.0,8.0,8.0,8.0,8.0
13,8.0,8.0,8.0,9.0,8.0,8.0
14,8.0,8.0,8.0,9.0,8.0,8.0
15,8.0,8.0,8.0,9.0,8.0,8.0
16,8.0,8.0,8.0,10.0,8.0,9.0
17,9.0,9.0,8.0,10.0,8.0,8.0
18,8.0,8.0,8.0,9.0,8.0,8.0
19,8.0,8.0,8.0,9.0,8.0,8.0
20,8.0,8.0,8.0,9.0,8.0,8.0
21,9.0,8.0,9.0,9.0,8.0,8.0
22,8.0,8.0,9.0,10.0,8.0,8.0
23,8.0,8.0,8.0,9.0,8.0,8.0
24,8.0,8.0,9.0,9.0,8.0,8.0
25,9.0,8.0,8.0,10.0,8.0,9.0
26,8.0,8.0,8.0,9.0,8.0,8.0
27,8.0,8.0,8.0,9.0,8.0,8.0
28,9.0,8.0,8.0,10.0,8.0,9.0
29,8.0,8.0,8.0,9.0,8.0,8.0
30,8.0,8.0,8.0,10.0,8.0,9.0
31,8.0,8.0,8.0,10.0,8.0,8.0
32,8.0,8.0,8.0,10.0,8.0,8.0
33,8.0,8.0,8.0,10.0,8.0,8.0
34,8.0,8.0,8.0,9.0,8.0,8.0
35,8.0,8.0,8.0,9.0,8.0,8.0
36,8.0,8.0,8.0,9.0,8.0,8.0
37,8.0,8.0,8.0,9.0,8.0,8.0
38,9.0,9.0,9.0,10.0,8.0,8.0
39,8.0,8.0,8.0,9.0,8.0,7.0
40,8.0,8.0,8.0,9.0,8.0,8.0
41,9.0,8.0,9.0,10.0,8.0,8.0
42,8.0,8.0,8.0,9.0,8.0,8.0
43,8.0,8.0,8.0,9.0,8.0,8.0
44,9.0,8.0,8.0,9.0,8.0,8.0
45,8.0,8.0,8.0,9.0,8.0,8.0
46,8.0,8.0,8.0,9.0,8.0,8.0
47,8.0,8.0,8.0,9.0,8.0,8.0
48,8.0,8.0,8.0,9.0,8.0,8.0
49,9.0,9.0,9.0,9.0,9.0,8.0
50,8.0,8.0,8.0,10.0,8.0,9.0
51,8.0,8.0,7.0,9.0,8.0,8.0
52,9.0,8.0,9.0,9.0,8.0,8.0
53,9.0,8.0,8.0,10.0,9.0,9.0
54,8.0,8.0,8.0,9.0,8.0,8.0
55,8.0,8.0,9.0,9.0,8.0,8.0
56,7.0,7.0,7.0,9.0,7.0,8.0
57,8.0,8.0,7.0,10.0,8.0,8.0
58,8.0,8.0,7.0,9.0,8.0,8.0
59,9.0,8.0,9.0,10.0,8.0,8.0
60,8.0,8.0,8.0,9.0,8.0,8.0
61,8.0,8.0,8.0,9.0,8.0,8.0
62,8.0,8.0,7.0,9.0,8.0,8.0
63,8.0,8.0,8.0,9.0,8.0,8.0
64,8.0,7.0,8.0,9.0,7.0,8.0
65,8.0,8.0,9.0,9.0,8.0,8.0
66,8.0,8.0,8.0,10.0,8.0,8.0
67,9.0,8.0,9.0,9.0,8.0,8.0
68,8.0,8.0,8.0,9.0,8.0,8.0
69,8.0,8.0,8.0,9.0,8.0,8.0
70,9.0,8.0,8.0,10.0,8.0,8.0
71,8.0,8.0,8.0,9.0,8.0,8.0
72,8.0,8.0,8.0,9.0,8.0,8.0
73,8.0,8.0,8.0,10.0,8.0,8.0
74,8.0,8.0,9.0,10.0,8.0,9.0
75,8.0,8.0,9.0,9.0,8.0,8.0
76,8.0,8.0,9.0,9.0,8.0,8.0
77,8.0,8.0,8.0,10.0,8.0,8.0
78,9.0,9.0,9.0,9.0,8.0,9.0
79,8.0,8.0,8.0,9.0,8.0,8.0
80,8.0,8.0,7.0,9.0,8.0,8.0
81,8.0,8.0,8.0,9.0,8.0,8.0
82,8.0,8.0,8.0,9.0,8.0,8.0
83,8.0,8.0,8.0,10.0,8.0,8.0
84,9.0,8.0,9.0,9.0,9.0,8.0
85,9.0,8.0,9.0,10.0,8.0,9.0
86,9.0,8.0,9.0,10.0,8.0,9.0
87,9.0,8.0,8.0,9.0,8.0,8.0
88,8.0,8.0,8.0,9.0,8.0,8.0
89,8.0,8.0,8.0,9.0,8.0,8.0
90,8.0,8.0,7.0,8.0,8.0,8.0
91,9.0,8.0,8.0,10.0,8.0,9.0
92,8.0,8.0,8.0,9.0,8.0,8.0
93,9.0,8.0,8.0,9.0,8.0,8.0
94,9.0,8.0,8.0,9.0,8.0,9.0
95,8.0,8.0,8.0,9.0,8.0,8.0
96,8.0,8.0,9.0,9.0,8.0,8.0
97,8.0,8.0,9.0,9.0,8.0,9.0
98,9.0,9.0,9.0,9.0,8.0,8.0
99,8.0,8.0,8.0,9.0,9.0,8.0
100,9.0,8.0,8.0,9.0,9.0,8.0
101,9.0,8.0,8.0,8.0,8.0,8.0
102,8.0,8.0,7.0,9.0,8.0,8.0
103,8.0,8.0,8.0,8.0,8.0,7.0
104,8.0,8.0,8.0,8.0,8.0,8.0
105,9.0,8.0,8.0,9.0,8.0,8.0
106,9.0,8.0,8.0,8.0,8.0,8.0
107,8.0,8.0,8.0,9.0,8.0,8.0
108,9.0,8.0,8.0,9.0,8.0,8.0
109,9.0,8.0,8.0,9.0,9.0,8.0
110,8.0,8.0,8.0,8.0,8.0,8.0
111,9.0,8.0,8.0,9.0,8.0,8.0
112,9.0,8.0,8.0,9.0,8.0,8.0
113,9.0,8.0,8.0,9.0,9.0,8.0
114,9.0,9.0,8.0,9.0,9.0,9.0
115,8.0,8.0,8.0,9.0,8.0,8.0
116,8.0,8.0,8.0,8.0,8.0,8.0
117,8.0,8.0,8.0,8.0,8.0,8.0
118,8.0,8.0,8.0,8.0,8.0,8.0
119,9.0,8.0,9.0,9.0,8.0,8.0
120,9.0,8.0,8.0,8.0,8.0,8.0
121,9.0,8.0,8.0,8.0,8.0,8.0
122,9.0,8.0,8.0,9.0,8.0,8.0
123,8.0,8.0,8.0,9.0,8.0,8.0
124,8.0,8.0,8.0,9.0,9.0,8.0
125,9.0,8.0,8.0,8.0,8.0,8.0
126,9.0,8.0,8.0,9.0,9.0,8.0
127,9.0,8.0,8.0,8.0,9.0,8.0
128,8.0,8.0,9.0,9.0,9.0,9.0
129,9.0,8.0,8.0,8.0,8.0,8.0
130,9.0,8.0,8.0,9.0,8.0,8.0
131,8.0,8.0,8.0,9.0,8.0,8.0
132,8.0,7.0,8.0,9.0,8.0,8.0
133,9.0,8.0,9.0,9.0,9.0,9.0
134,9.0,8.0,8.0,9.0,9.0,9.0
135,8.0,8.0,9.0,8.0,8.0,8.0
136,8.0,8.0,8.0,9.0,8.0,8.0
137,9.0,8.0,9.0,9.0,8.0,9.0
138,9.0,8.0,8.0,9.0,8.0,8.0
139,8.0,8.0,8.0,9.0,8.0,8.0
140,9.0,8.0,9.0,9.0,9.0,9.0
141,8.0,8.0,8.0,9.0,8.0,8.0
142,8.0,8.0,8.0,9.0,8.0,8.0
143,9.0,8.0,9.0,9.0,9.0,9.0
144,8.0,8.0,8.0,9.0,8.0,8.0
145,9.0,9.0,9.0,9.0,9.0,8.0
146,8.0,8.0,8.0,9.0,8.0,8.0
147,9.0,8.0,9.0,9.0,8.0,8.0
148,9.0,9.0,9.0,9.0,9.0,8.0
149,8.0,8.0,9.0,9.0,9.0,8.0
150,9.0,8.0,9.0,9.0,8.0,8.0
151,8.0,8.0,8.0,8.0,8.0,8.0
152,8.0,8.0,8.0,8.0,8.0,8.0
153,9.0,8.0,9.0,9.0,9.0,9.0
154,9.0,8.0,8.0,9.0,8.0,8.0
155,9.0,8.0,8.0,9.0,9.0,8.0
156,8.0,8.0,8.0,8.0,8.0,8.0
157,9.0,8.0,9.0,9.0,8.0,8.0
158,9.0,8.0,9.0,9.0,8.0,8.0
159,9.0,8.0,9.0,9.0,8.0,8.0
160,8.0,8.0,8.0,9.0,9.0,8.0
161,8.0,8.0,9.0,9.0,9.0,8.0
162,8.0,8.0,9.0,9.0,8.0,8.0
163,9.0,8.0,9.0,9.0,9.0,9.0
164,9.0,8.0,8.0,9.0,9.0,8.0
165,9.0,8.0,9.0,9.0,9.0,8.0
166,9.0,8.0,9.0,8.0,8.0,8.0
167,9.0,8.0,8.0,9.0,8.0,8.0
168,8.0,8.0,9.0,9.0,9.0,8.0
169,8.0,9.0,9.0,9.0,8.0,8.0
170,8.0,8.0,8.0,8.0,8.0,8.0
171,9.0,8.0,8.0,9.0,8.0,8.0
172,8.0,8.0,9.0,8.0,8.0,8.0
173,9.0,8.0,9.0,9.0,9.0,8.0
174,8.0,8.0,9.0,9.0,9.0,8.0
175,9.0,8.0,8.0,9.0,8.0,8.0
176,9.0,8.0,9.0,9.0,8.0,8.0
177,9.0,8.0,9.0,9.0,9.0,8.0
178,8.0,8.0,8.0,9.0,8.0,8.0
179,8.0,8.0,8.0,9.0,8.0,8.0
180,9.0,8.0,8.0,9.0,8.0,8.0
181,9.0,8.0,8.0,9.0,9.0,8.0
182,9.0,8.0,9.0,9.0,9.0,8.0
183,8.0,8.0,8.0,9.0,8.0,8.0
184,8.0,8.0,7.0,9.0,8.0,8.0
185,9.0,8.0,8.0,9.0,8.0,8.0
186,8.0,8.0,9.0,8.0,9.0,8.0
187,8.0,8.0,8.0,9.0,9.0,8.0
188,9.0,8.0,9.0,9.0,9.0,8.0
189,9.0,8.0,8.0,9.0,8.0,8.0
190,9.0,8.0,8.0,9.0,9.0,8.0
191,9.0,8.0,8.0,9.0,8.0,8.0
192,9.0,8.0,8.0,9.0,9.0,9.0
193,9.0,8.0,8.0,9.0,8.0,8.0
194,9.0,8.0,8.0,9.0,9.0,9.0
195,8.0,8.0,9.0,9.0,8.0,9.0
196,8.0,8.0,8.0,9.0,8.0,8.0
197,8.0,7.0,7.0,8.0,8.0,8.0
198,9.0,9.0,8.0,9.0,9.0,9.0
199,8.0,8.0,9.0,9.0,9.0,8.0
200,8.0,8.0,8.0,8.0,8.0,8.0
201,9.0,8.0,8.0,8.0,8.0,8.0
202,8.0,8.0,8.0,8.0,8.0,8.0
203,9.0,9.0,9.0,9.0,9.0,8.0
204,9.0,9.0,9.0,9.0,8.0,8.0
205,8.0,8.0,8.0,9.0,8.0,8.0
206,9.0,8.0,9.0,9.0,9.0,8.0
207,8.0,7.0,8.0,9.0,8.0,8.0
208,9.0,9.0,9.0,9.0,9.0,8.0
209,8.0,8.0,8.0,9.0,8.0,9.0
210,9.0,8.0,8.0,9.0,8.0,8.0
211,9.0,9.0,8.0,9.0,9.0,9.0
212,8.0,8.0,9.0,9.0,8.0,8.0
213,8.0,8.0,8.0,8.0,8.0,8.0
214,9.0,8.0,8.0,9.0,8.0,8.0
215,8.0,8.0,8.0,8.0,8.0,8.0
216,8.0,8.0,9.0,9.0,9.0,8.0
217,9.0,8.0,8.0,9.0,9.0,8.0
218,8.0,8.0,8.0,9.0,8.0,8.0
219,8.0,7.0,8.0,8.0,8.0,8.0
220,9.0,8.0,7.0,9.0,8.0,8.0
221,9.0,8.0,8.0,9.0,9.0,8.0
222,8.0,8.0,8.0,9.0,8.0,8.0
223,8.0,8.0,8.0,9.0,8.0,8.0
224,8.0,8.0,7.0,9.0,8.0,8.0
225,9.0,8.0,8.0,9.0,8.0,8.0
226,9.0,9.0,9.0,9.0,9.0,8.0
227,9.0,8.0,9.0,9.0,9.0,8.0
228,9.0,8.0,8.0,9.0,9.0,8.0
229,9.0,8.0,9.0,9.0,9.0,8.0
230,9.0,8.0,8.0,9.0,8.0,9.0
231,8.0,8.0,9.0,9.0,8.0,8.0
232,9.0,8.0,9.0,9.0,8.0,8.0
233,8.0,8.0,8.0,8.0,8.0,8.0
234,9.0,8.0,8.0,8.0,8.0,8.0
235,9.0,9.0,9.0,9.0,9.0,8.0
236,8.0,8.0,9.0,9.0,9.0,8.0
237,9.0,8.0,8.0,9.0,8.0,8.0
238,9.0,8.0,8.0,8.0,8.0,8.0
239,8.0,8.0,8.0,8.0,9.0,8.0
240,9.0,8.0,8.0,9.0,8.0,8.0
241,8.0,8.0,8.0,9.0,9.0,8.0
242,9.0,8.0,9.0,9.0,9.0,8.0
243,8.0,8.0,8.0,9.0,8.0,8.0
244,9.0,8.0,8.0,9.0,8.0,8.0
245,9.0,8.0,8.0,9.0,9.0,9.0
246,9.0,8.0,8.0,8.0,8.0,8.0
247,8.0,8.0,8.0,8.0,8.0,8.0
248,8.0,8.0,9.0,9.0,8.0,8.0
249,8.0,8.0,8.0,8.0,8.0,8.0
250,9.0,8.0,8.0,9.0,8.0,8.0
251,8.0,8.0,8.0,9.0,8.0,8.0
252,8.0,8.0,9.0,8.0,8.0,8.0
253,8.0,8.0,8.0,9.0,9.0,8.0
254,8.0,7.0,7.0,8.0,8.0,7.0
255,8.0,8.0,8.0,9.0,8.0,8.0
256,9.0,8.0,9.0,9.0,8.0,8.0
257,8.0,8.0,8.0,8.0,8.0,8.0
258,8.0,8.0,9.0,9.0,8.0,8.0
259,8.0,8.0,8.0,9.0,8.0,8.0
260,8.0,8.0,8.0,9.0,8.0,8.0
261,8.0,8.0,8.0,9.0,8.0,8.0
262,8.0,8.0,8.0,9.0,8.0,8.0
263,7.0,7.0,8.0,8.0,8.0,8.0
264,8.0,8.0,9.0,9.0,9.0,8.0
265,8.0,8.0,8.0,8.0,8.0,8.0
266,8.0,8.0,8.0,8.0,9.0,8.0
267,9.0,8.0,8.0,9.0,9.0,8.0
268,8.0,8.0,8.0,8.0,9.0,8.0
269,9.0,8.0,8.0,8.0,8.0,8.0
270,9.0,8.0,8.0,8.0,9.0,8.0
271,9.0,8.0,9.0,9.0,8.0,8.0
272,9.0,8.0,8.0,9.0,8.0,8.0
273,9.0,8.0,8.0,9.0,8.0,8.0
274,9.0,8.0,9.0,9.0,9.0,8.0
275,8.0,8.0,8.0,9.0,8.0,8.0
276,8.0,8.0,8.0,9.0,9.0,8.0
277,9.0,8.0,8.0,9.0,9.0,9.0
278,8.0,8.0,9.0,8.0,8.0,8.0
279,9.0,8.0,9.0,9.0,8.0,8.0
280,8.0,8.0,8.0,9.0,9.0,9.0
281,8.0,8.0,9.0,9.0,8.0,8.0
282,9.0,8.0,9.0,9.0,9.0,8.0
283,8.0,8.0,8.0,9.0,8.0,8.0
284,8.0,8.0,8.0,9.0,9.0,8.0
285,9.0,8.0,9.0,9.0,9.0,8.0
286,9.0,8.0,9.0,9.0,9.0,9.0
